TEAM_ID,GP,FG3A,SEASON_YEAR_FULL
1610612743,82,1959,2013-14
1610612765,82,1580,2013-14
1612709913,50,1044,2013-14
1612709910,50,1011,2013-14
1610612744,82,2037,2013-14
1610612745,82,2179,2013-14
1612709903,50,1268,2013-14
1611661325,34,555,2013-14
1610612754,82,1542,2013-14
1612709911,50,1389,2013-14
1610612746,82,1966,2013-14
1612709905,50,1785,2013-14
1610612747,82,2032,2013-14
1611661320,34,318,2013-14
1612709915,50,1321,2013-14
1610612763,82,1147,2013-14
1610612748,82,1829,2013-14
1610612749,82,1553,2013-14
1611661324,34,359,2013-14
1610612750,82,1757,2013-14
1610612740,82,1303,2013-14
1610612752,82,2038,2013-14
1611661313,34,366,2013-14
1610612760,82,1839,2013-14
1610612753,82,1596,2013-14
1610612755,82,1847,2013-14
1611661317,34,538,2013-14
1610612756,82,2055,2013-14
1610612757,82,2071,2013-14
1612709914,50,963,2013-14
1612709908,50,2268,2013-14
1610612758,82,1475,2013-14
1611661319,34,613,2013-14
1610612759,82,1757,2013-14
1612709902,50,1101,2013-14
1611661328,34,590,2013-14
1612709904,50,1327,2013-14
1612709917,50,984,2013-14
1612709918,50,1378,2013-14
1610612761,82,1917,2013-14
1612709889,50,1157,2013-14
1611661321,34,679,2013-14
1610612762,82,1577,2013-14
1611661322,34,453,2013-14
1610612764,82,1704,2013-14
1610612745,13,349,2014-15
1610612755,11,228,2014-15
1610612748,11,256,2014-15
1610612758,7,102,2014-15
1610612766,7,153,2014-15
1610612759,6,121,2014-15
1610612764,6,106,2014-15
1612709916,6,95,2014-15
1610612737,6,126,2014-15
1610612750,6,88,2014-15
1610612741,5,123,2014-15
1610612742,5,105,2014-15
1610612754,5,72,2014-15
1610612752,5,99,2014-15
1610612763,5,78,2014-15
1610612762,5,113,2014-15
1610612739,5,103,2014-15
1610612753,5,90,2014-15
1610612744,5,97,2014-15
1610612765,5,120,2014-15
1610612757,5,90,2014-15
1610612738,5,152,2014-15
1610612756,5,95,2014-15
1610612740,5,102,2014-15
1610612743,5,120,2014-15
1610612760,5,90,2014-15
1610612747,5,91,2014-15
1610612751,5,93,2014-15
1610612746,5,58,2014-15
1610612749,5,77,2014-15
1610612761,5,124,2014-15
1611661330,34,505,2014-15
1610612737,82,2152,2014-15
1612709890,50,1124,2014-15
1612709900,51,1226,2014-15
1610612738,82,2021,2014-15
1610612751,82,1633,2014-15
1612709893,50,1140,2014-15
1610612766,82,1566,2014-15
1610612741,82,1825,2014-15
1611661329,34,358,2014-15
1610612739,82,2253,2014-15
1611661323,34,469,2014-15
1610612742,82,2082,2014-15
1612709909,50,1530,2014-15
1610612743,82,2032,2014-15
1610612765,82,2043,2014-15
1612709913,50,1033,2014-15
1612709910,50,1181,2014-15
1610612744,82,2217,2014-15
1612709917,51,1175,2014-15
1610612745,82,2680,2014-15
1612709903,50,1269,2014-15
1611661325,34,506,2014-15
1610612754,82,1740,2014-15
1612709911,50,1156,2014-15
1610612746,82,2202,2014-15
1612709905,50,962,2014-15
1610612747,82,1546,2014-15
1611661320,34,282,2014-15
1612709915,50,1880,2014-15
1610612763,82,1246,2014-15
1610612748,82,1659,2014-15
1610612749,82,1500,2014-15
1611661324,34,379,2014-15
1610612750,82,1223,2014-15
1610612740,82,1583,2014-15
1610612752,82,1614,2014-15
1611661313,34,338,2014-15
1612709889,50,1037,2014-15
1610612760,82,1864,2014-15
1610612753,82,1598,2014-15
1610612755,82,2160,2014-15
1611661317,34,508,2014-15
1610612756,82,2048,2014-15
1610612757,82,2231,2014-15
1612709914,50,2344,2014-15
1612709908,50,1871,2014-15
1610612758,82,1350,2014-15
1610612759,82,1847,2014-15
1611661319,34,630,2014-15
1612709902,50,1012,2014-15
1611661328,34,598,2014-15
1612709904,50,1381,2014-15
1612709918,50,1317,2014-15
1610612761,82,2060,2014-15
1611661321,34,601,2014-15
1610612762,82,1781,2014-15
1611661322,34,561,2014-15
1610612764,82,1381,2014-15
1612709919,50,911,2014-15
1610612751,11,238,2015-16
1610612759,10,189,2015-16
1610612748,10,192,2015-16
1610612738,8,202,2015-16
1610612762,8,153,2015-16
1610612755,8,168,2015-16
1610612756,7,128,2015-16
1610612737,7,141,2015-16
1610612740,6,137,2015-16
1610612744,6,106,2015-16
1610612741,6,130,2015-16
1610612757,6,119,2015-16
1610612742,6,176,2015-16
1610612764,6,110,2015-16
1610612749,6,103,2015-16
1710612753,5,73,2015-16
1610612761,5,89,2015-16
1612709916,5,139,2015-16
1610612743,5,114,2015-16
1610612763,5,71,2015-16
1610612745,5,89,2015-16
1810612753,5,128,2015-16
1610612746,5,82,2015-16
1610612752,5,81,2015-16
1610612766,5,120,2015-16
1610612765,5,91,2015-16
1610612760,5,87,2015-16
1610612739,5,99,2015-16
1610612750,5,78,2015-16
1610612747,5,90,2015-16
1610612758,5,106,2015-16
1610612754,5,108,2015-16
1611661330,34,519,2015-16
1610612737,82,2326,2015-16
1612709890,50,1112,2015-16
1612709900,50,1188,2015-16
1610612738,82,2142,2015-16
1610612751,82,1508,2015-16
1612709893,50,1343,2015-16
1610612766,82,2410,2015-16
1610612741,82,1753,2015-16
1611661329,34,431,2015-16
1610612739,82,2428,2015-16
1611661323,34,623,2015-16
1610612742,82,2342,2015-16
1612709909,50,1406,2015-16
1610612743,82,1943,2015-16
1610612765,82,2148,2015-16
1612709913,50,948,2015-16
1612709910,50,1194,2015-16
1610612744,82,2592,2015-16
1612709917,50,1011,2015-16
1610612745,82,2533,2015-16
1612709903,50,1361,2015-16
1611661325,34,506,2015-16
1610612754,82,1889,2015-16
1612709911,50,1266,2015-16
1610612746,82,2190,2015-16
1612709905,50,1559,2015-16
1610612747,82,2016,2015-16
1611661320,34,489,2015-16
1612709915,50,1755,2015-16
1610612763,82,1521,2015-16
1610612748,82,1480,2015-16
1610612749,82,1277,2015-16
1611661324,34,419,2015-16
1610612750,82,1347,2015-16
1610612740,82,1951,2015-16
1610612752,82,1762,2015-16
1611661313,34,414,2015-16
1612709889,50,1170,2015-16
1610612760,82,1945,2015-16
1610612753,82,1818,2015-16
1610612755,82,2255,2015-16
1611661317,34,485,2015-16
1610612756,82,2118,2015-16
1610612757,82,2336,2015-16
1612709920,50,1271,2015-16
1612709914,50,1894,2015-16
1612709908,50,1597,2015-16
1610612758,82,1839,2015-16
1610612759,82,1518,2015-16
1611661319,34,434,2015-16
1612709902,50,1018,2015-16
1611661328,34,493,2015-16
1612709904,50,1069,2015-16
1612709918,50,1250,2015-16
1610612761,82,1915,2015-16
1611661321,34,634,2015-16
1610612762,82,1956,2015-16
1611661322,34,593,2015-16
1610612764,82,1983,2015-16
1612709919,50,908,2015-16
1610612748,11,274,2016-17
1610612742,11,259,2016-17
1610612755,9,216,2016-17
1610612762,9,204,2016-17
1610612759,8,157,2016-17
1610612738,8,190,2016-17
1610612750,8,179,2016-17
1610612741,7,160,2016-17
1610612739,7,158,2016-17
1610612737,6,132,2016-17
1610612756,6,135,2016-17
1610612744,6,143,2016-17
1610612743,5,104,2016-17
1610612761,5,127,2016-17
1610612765,5,109,2016-17
1610612760,5,91,2016-17
1710612753,5,85,2016-17
1610612747,5,109,2016-17
1610612764,5,132,2016-17
1610612751,5,106,2016-17
1610612766,5,120,2016-17
1610612754,5,81,2016-17
1610612745,5,142,2016-17
1612709916,5,103,2016-17
1610612749,5,132,2016-17
1610612752,5,95,2016-17
1610612763,5,120,2016-17
1610612757,5,128,2016-17
1610612740,5,111,2016-17
1810612753,5,101,2016-17
1610612746,5,59,2016-17
1610612758,5,67,2016-17
1611661330,34,442,2016-17
1610612737,82,2137,2016-17
1612709890,50,1165,2016-17
1610612738,82,2741,2016-17
1610612751,82,2591,2016-17
1612709893,50,1289,2016-17
1610612766,82,2347,2016-17
1610612741,82,1831,2016-17
1611661329,34,375,2016-17
1610612739,82,2779,2016-17
1611661323,34,623,2016-17
1610612742,82,2473,2016-17
1611661321,34,742,2016-17
1612709909,50,1241,2016-17
1610612743,82,2365,2016-17
1610612765,82,1915,2016-17
1612709913,50,1140,2016-17
1612709910,50,1392,2016-17
1610612744,82,2562,2016-17
1612709917,50,1533,2016-17
1612709922,50,1194,2016-17
1610612745,82,3306,2016-17
1611661325,34,542,2016-17
1610612754,82,1885,2016-17
1612709911,50,1479,2016-17
1610612746,82,2245,2016-17
1612709921,50,1422,2016-17
1612709905,50,1556,2016-17
1610612747,82,2110,2016-17
1611661320,34,533,2016-17
1612709915,50,1731,2016-17
1610612763,82,2169,2016-17
1610612748,82,2213,2016-17
1610612749,82,1946,2016-17
1611661324,34,406,2016-17
1610612750,82,1723,2016-17
1610612740,82,2196,2016-17
1610612752,82,2022,2016-17
1611661313,34,422,2016-17
1612709900,50,1340,2016-17
1612709889,50,1411,2016-17
1610612760,82,2116,2016-17
1610612753,82,2139,2016-17
1610612755,82,2443,2016-17
1611661317,34,610,2016-17
1610612756,82,1854,2016-17
1610612757,82,2272,2016-17
1612709920,50,1392,2016-17
1612709914,50,1176,2016-17
1612709908,50,1545,2016-17
1610612758,82,1960,2016-17
1612709903,50,1431,2016-17
1610612759,82,1927,2016-17
1611661319,34,508,2016-17
1612709902,50,1583,2016-17
1611661328,34,687,2016-17
1612709904,50,1595,2016-17
1612709918,50,1505,2016-17
1610612761,82,1996,2016-17
1610612762,82,2128,2016-17
1611661322,34,670,2016-17
1610612764,82,2030,2016-17
1612709919,50,1101,2016-17
1612709923,50,1391,2016-17
1610612742,11,289,2017-18
1610612748,11,285,2017-18
1610612747,8,219,2017-18
1610612738,8,168,2017-18
1610612759,8,214,2017-18
1610612757,8,177,2017-18
1610612762,8,189,2017-18
1610612755,8,250,2017-18
1610612763,6,104,2017-18
1610612756,6,153,2017-18
1610612758,6,130,2017-18
1610612743,6,154,2017-18
1610612744,6,139,2017-18
1610612740,6,125,2017-18
1610612739,5,101,2017-18
1610612751,5,133,2017-18
1610612765,5,124,2017-18
1610612761,5,138,2017-18
1610612766,5,93,2017-18
1610612754,5,118,2017-18
1610612737,5,89,2017-18
1610612746,5,102,2017-18
1610612753,5,102,2017-18
1610612750,5,147,2017-18
1610612745,5,148,2017-18
1610612741,5,169,2017-18
1610612764,5,98,2017-18
1610612760,5,107,2017-18
1610612752,5,134,2017-18
1610612749,5,135,2017-18
1612709924,50,1379,2017-18
1611661330,34,525,2017-18
1610612737,82,2544,2017-18
1612709890,50,1382,2017-18
1610612738,82,2492,2017-18
1610612751,82,2924,2017-18
1612709893,50,1528,2017-18
1610612766,82,2233,2017-18
1610612741,82,2549,2017-18
1611661329,34,579,2017-18
1610612739,82,2636,2017-18
1611661323,34,611,2017-18
1610612742,82,2688,2017-18
1611661321,34,711,2017-18
1612709909,50,1542,2017-18
1610612743,82,2536,2017-18
1610612765,82,2373,2017-18
1612709913,50,1662,2017-18
1612709910,50,1229,2017-18
1610612744,82,2369,2017-18
1612709917,50,1619,2017-18
1612709922,50,1540,2017-18
1610612745,82,3470,2017-18
1611661325,34,499,2017-18
1610612754,82,2010,2017-18
1612709911,50,1268,2017-18
1610612746,82,2196,2017-18
1612709925,50,1507,2017-18
1612709921,50,1753,2017-18
1610612747,82,2384,2017-18
1611661320,34,531,2017-18
1612709915,50,1918,2017-18
1610612763,82,2152,2017-18
1612709926,50,1420,2017-18
1610612748,82,2506,2017-18
1610612749,82,2024,2017-18
1611661324,34,548,2017-18
1610612750,82,1845,2017-18
1610612740,82,2312,2017-18
1610612752,82,1914,2017-18
1611661313,34,579,2017-18
1612709900,50,2000,2017-18
1612709889,50,1860,2017-18
1610612760,82,2491,2017-18
1610612753,82,2405,2017-18
1610612755,82,2445,2017-18
1611661317,34,651,2017-18
1610612756,82,2286,2017-18
1610612757,82,2308,2017-18
1612709920,50,1547,2017-18
1612709914,50,1470,2017-18
1612709908,50,1724,2017-18
1610612758,82,1967,2017-18
1612709903,50,1610,2017-18
1610612759,82,1977,2017-18
1611661319,34,486,2017-18
1612709902,50,1341,2017-18
1611661328,34,681,2017-18
1612709904,50,1991,2017-18
1612709905,50,1662,2017-18
1612709918,50,1541,2017-18
1610612761,82,2705,2017-18
1610612762,82,2425,2017-18
1611661322,34,732,2017-18
1610612764,82,2173,2017-18
1612709919,50,1275,2017-18
1612709923,50,1518,2017-18
1612709927,50,1259,2017-18
1610612747,10,263,2018-19
1610612763,10,213,2018-19
1610612737,9,284,2018-19
1610612762,8,198,2018-19
1610612748,8,233,2018-19
1610612744,8,237,2018-19
1610612758,8,172,2018-19
1610612759,8,180,2018-19
1610612757,7,151,2018-19
1610612739,7,161,2018-19
1610612738,6,134,2018-19
1610612746,6,124,2018-19
1610612765,6,171,2018-19
1610612761,6,200,2018-19
1610612755,6,190,2018-19
1610612756,5,117,2018-19
1610612754,5,116,2018-19
1610612750,5,125,2018-19
1610612745,5,166,2018-19
1610612749,5,137,2018-19
1610612760,5,94,2018-19
1610612753,5,133,2018-19
1610612740,5,98,2018-19
1610612742,5,132,2018-19
1610612743,5,108,2018-19
1610612766,5,130,2018-19
1610612741,5,139,2018-19
1610612752,5,104,2018-19
1610612764,5,134,2018-19
1610612751,5,142,2018-19
1612709924,50,1563,2018-19
1611661330,34,626,2018-19
1610612737,82,3034,2018-19
1612709890,50,1295,2018-19
1610612738,82,2829,2018-19
1610612751,82,2965,2018-19
1612709893,50,1376,2018-19
1612709928,50,1547,2018-19
1610612766,82,2783,2018-19
1610612741,82,2123,2018-19
1611661329,34,671,2018-19
1610612739,82,2388,2018-19
1611661323,34,703,2018-19
1610612742,82,3002,2018-19
1611661321,34,752,2018-19
1612709909,50,2036,2018-19
1610612743,82,2571,2018-19
1610612765,82,2854,2018-19
1612709913,50,1831,2018-19
1612709910,50,1591,2018-19
1610612744,82,2824,2018-19
1612709917,50,1715,2018-19
1612709922,50,1619,2018-19
1610612745,82,3721,2018-19
1611661325,34,591,2018-19
1610612754,82,2081,2018-19
1612709911,50,1508,2018-19
1610612746,82,2118,2018-19
1612709925,50,1650,2018-19
1611661319,33,361,2018-19
1612709921,50,1641,2018-19
1610612747,82,2541,2018-19
1611661320,34,588,2018-19
1612709915,50,1789,2018-19
1610612763,82,2368,2018-19
1612709926,50,1465,2018-19
1610612748,82,2658,2018-19
1610612749,82,3134,2018-19
1611661324,34,529,2018-19
1610612750,82,2357,2018-19
1610612740,82,2449,2018-19
1610612752,82,2421,2018-19
1611661313,34,713,2018-19
1612709900,50,1609,2018-19
1612709889,50,1631,2018-19
1610612760,82,2677,2018-19
1610612753,82,2633,2018-19
1610612755,82,2474,2018-19
1611661317,34,799,2018-19
1610612756,82,2400,2018-19
1610612757,82,2520,2018-19
1612709920,50,1796,2018-19
1612709908,50,2131,2018-19
1610612758,82,2455,2018-19
1612709903,50,1648,2018-19
1610612759,82,2071,2018-19
1612709902,50,1324,2018-19
1611661328,34,816,2018-19
1612709904,50,1702,2018-19
1612709905,50,1591,2018-19
1612709914,50,1715,2018-19
1612709918,50,1471,2018-19
1610612761,82,2771,2018-19
1610612762,82,2789,2018-19
1611661322,33,773,2018-19
1610612764,82,2731,2018-19
1612709919,50,1216,2018-19
1612709923,50,1731,2018-19
1612709927,50,1548,2018-19
200,16,341,2019-20
1612709924,44,1398,2019-20
1611661330,34,748,2019-20
1610612737,72,2554,2019-20
1612709890,42,1317,2019-20
228,16,277,2019-20
1610612738,77,2637,2019-20
1610612751,78,2890,2019-20
201,16,300,2019-20
1612709893,43,1450,2019-20
1612709928,43,1372,2019-20
204,16,223,2019-20
205,16,327,2019-20
1610612766,70,2375,2019-20
1610612741,70,2393,2019-20
1611661329,34,735,2019-20
45,5,121,2019-20
1610612739,73,2309,2019-20
1612709929,43,1474,2019-20
1611661323,34,713,2019-20
70,5,98,2019-20
1610612742,80,3240,2019-20
1611661321,34,662,2019-20
1612709909,43,1611,2019-20
1610612743,77,2336,2019-20
1610612765,71,2330,2019-20
1612709913,43,1709,2019-20
1612709910,43,1219,2019-20
1610612744,73,2243,2019-20
1612709917,43,1375,2019-20
1612709922,43,1517,2019-20
208,16,273,2019-20
209,16,259,2019-20
210,16,269,2019-20
1610612745,77,3465,2019-20
1611661325,34,569,2019-20
1610612754,78,2187,2019-20
1612709911,43,1615,2019-20
212,16,262,2019-20
213,16,320,2019-20
214,16,301,2019-20
1610612746,77,2546,2019-20
1612709925,42,1335,2019-20
215,16,289,2019-20
1611661319,34,509,2019-20
1612709921,42,1651,2019-20
1610612747,79,2495,2019-20
1611661320,34,710,2019-20
216,16,281,2019-20
1612709915,42,1669,2019-20
217,16,246,2019-20
1610612763,83,2604,2019-20
1612709926,41,1368,2019-20
1610612748,81,2801,2019-20
1610612749,78,3010,2019-20
1611661324,34,594,2019-20
1610612750,71,2743,2019-20
218,16,256,2019-20
1610612740,78,2827,2019-20
1610612752,71,2001,2019-20
1611661313,34,665,2019-20
1612709900,42,1379,2019-20
1612709889,42,1637,2019-20
1610612760,77,2305,2019-20
1610612753,78,2473,2019-20
220,16,256,2019-20
1610612755,78,2455,2019-20
1611661317,34,686,2019-20
1610612756,77,2432,2019-20
221,16,256,2019-20
1610612757,79,2659,2019-20
1612709920,43,1609,2019-20
222,16,273,2019-20
1612709908,42,1720,2019-20
1610612758,80,2736,2019-20
1612709903,42,1400,2019-20
1610612759,79,2173,2019-20
1612709902,42,1474,2019-20
1611661328,34,717,2019-20
1612709904,42,1352,2019-20
1612709905,44,1568,2019-20
1612709914,43,1597,2019-20
227,16,241,2019-20
1612709918,43,1583,2019-20
1610612761,77,2821,2019-20
1610612762,80,2773,2019-20
229,16,257,2019-20
1611661322,34,864,2019-20
1610612764,77,2473,2019-20
1612709919,41,1382,2019-20
1612709923,43,1558,2019-20
1612709927,43,1676,2019-20
202,16,266,2019-20
1612709924,15,481,2020-21
1611661330,22,371,2020-21
1610612737,72,2402,2020-21
1612709890,15,504,2020-21
1610612738,72,2618,2020-21
1610612751,72,2600,2020-21
1612709893,15,537,2020-21
1610612766,72,2666,2020-21
1610612741,72,2446,2020-21
1611661329,22,476,2020-21
1610612739,72,2141,2020-21
1611661323,22,417,2020-21
1610612742,72,2744,2020-21
1611661321,22,607,2020-21
1612709909,15,568,2020-21
1610612743,72,2462,2020-21
1610612765,72,2370,2020-21
1612709913,15,584,2020-21
1612709910,15,482,2020-21
1612709930,15,408,2020-21
1610612744,72,2789,2020-21
1612709922,15,528,2020-21
1610612745,72,2923,2020-21
1611661325,22,440,2020-21
1610612754,72,2445,2020-21
1612709911,15,506,2020-21
1610612746,72,2498,2020-21
1612709925,15,509,2020-21
1611661319,22,254,2020-21
1612709921,15,506,2020-21
1610612747,72,2248,2020-21
1611661320,22,399,2020-21
1610612763,72,2258,2020-21
1612709926,15,544,2020-21
1610612748,72,2606,2020-21
1610612749,72,2669,2020-21
1611661324,22,473,2020-21
1610612750,72,2706,2020-21
1610612740,72,2190,2020-21
1610612752,72,2163,2020-21
1611661313,22,602,2020-21
1612709889,15,493,2020-21
1610612760,72,2529,2020-21
1610612753,72,2288,2020-21
1610612755,72,2169,2020-21
1611661317,22,540,2020-21
1610612756,72,2490,2020-21
1610612757,72,2939,2020-21
1612709920,15,607,2020-21
1612709908,15,672,2020-21
1610612758,72,2400,2020-21
1612709903,15,573,2020-21
1610612759,72,2046,2020-21
1612709902,15,582,2020-21
1611661328,22,470,2020-21
1610612761,72,2831,2020-21
1610612762,72,3098,2020-21
1611661322,22,536,2020-21
1610612764,72,2088,2020-21
1612709919,15,589,2020-21
200,28,586,2021-22
1612709924,33,1008,2021-22
1611661330,32,632,2021-22
1610612737,87,2970,2021-22
1612709890,32,1024,2021-22
1612709913,32,1194,2021-22
228,27,523,2021-22
1610612738,87,3234,2021-22
1610612751,87,2744,2021-22
201,27,597,2021-22
1612709928,31,892,2021-22
204,28,632,2021-22
205,28,631,2021-22
1610612766,87,3249,2021-22
1610612741,87,2493,2021-22
1611661329,32,679,2021-22
1610612739,87,2830,2021-22
1612709893,32,1086,2021-22
